Squad;#Pl_passing;90s_passing;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp.1;Att.1;Cmp%.1;Cmp.2;Att.2;Cmp%.2;Cmp.3;Att.3;Cmp%.3;Ast;xAG;xA;A-xAG;KP;01-Mar;PPA;CrsPA;PrgP;#Pl_shooting;90s_shooting;Gls;Sh;SoT;Sot%;Sh/90;Sot/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;#Pl;MP;Starts;Min;90s;GA;GA90;SoTA;SAVES;Save%;W;D;L;CS;CS%;PKatt_goalkeeping;PKA;PKsv;PKm;Save%.1;MP_laliga;W_laliga;D_laliga;L_laliga;GF;GA_laliga;GD;Pts;Pts/MP;xG_laliga;xGA;xGD;xGD/90;Attendance;#Pl_stats;Age;Poss;MP_stats;Starts_stats;Min_stats;90s_stats;Gls_stats;Ast_stats;G+A;G-PK;PK_stats;PKatt_stats;CrdY;CrdR;xG_stats;npxG_stats;xAG_stats;npxG+xAG;PrgC;PrgP_stats;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1
Leganés;26;38;11207;14840;75.5;201808;76373;5038;5734;87.9;4716;5600;84.2;1169;2735;42.7;27;23.3;21.8;3.7;241;796;187;45;1030;26;38;38;345;110;31.9;9.08;2.89;0.1;0.3;20.1;19;5;7;36;30.6;0.09;2;2.4;2;38;38;3,420;38;56;1.47;175;122;72;9;13;16;11;28.9;8;7;0;1;0;38;9;13;16;39;56;-17;40;1.05;36;59.4;-23.4;-0.62;11,135;26;27.8;42.6;38;418;3,420;38;38;27;65;33;5;7;82;6;36;30.6;23.3;53.8;417;1030;1;0.71;1.71;0.87;1.58;0.95;0.61;1.56;0.8;1.42
Mallorca;28;38;12613;16224;77.7;232365;90368;5538;6293;88;5349;6310;84.8;1466;2803;52.3;24;26.5;28.3;-2.5;282;973;239;112;1184;28;38;34;382;107;28;10.05;2.82;0.08;0.28;16.3;7;4;5;38.8;34.9;0.09;-4.8;-4.9;2;38;38;3,420;38;44;1.16;165;122;75.2;13;9;16;9;23.7;3;3;0;0;0;38;13;9;16;35;44;-9;48;1.26;38.8;46.8;-8.1;-0.21;18,502;28;28.7;46.8;38;418;3,420;38;34;24;58;30;4;5;81;6;38.8;34.9;26.5;61.3;479;1184;0.89;0.63;1.53;0.79;1.42;1.02;0.7;1.72;0.92;1.61
Osasuna;25;38;12184;16028;76;230479;92624;5022;5858;85.7;5403;6487;83.3;1489;2835;52.5;28;29.8;33.4;-1.8;300;963;265;127;1221;25;38;46;409;123;30.1;10.76;3.24;0.09;0.3;16.7;9;9;9;44;37.8;0.09;2;-0.8;2;38;38;3,420;38;52;1.37;187;136;75.9;12;16;10;9;23.7;7;7;0;0;0;38;12;16;10;48;52;-4;52;1.37;44;53.7;-9.7;-0.25;20,476;25;27.4;46.1;38;418;3,420;38;46;28;74;37;9;9;88;0;44;37.8;29.8;67.6;567;1221;1.21;0.74;1.95;0.97;1.71;1.16;0.78;1.94;0.99;1.78
Rayo Vallecano;26;38;13936;17861;78;247359;94801;6459;7310;88.4;5793;6748;85.8;1401;2920;48;27;36.2;32.2;-9.2;374;1081;242;85;1362;26;38;38;514;162;31.5;13.53;4.26;0.07;0.23;19.3;25;0;1;45.4;44.6;0.09;-7.4;-6.6;2;38;38;3,420;38;45;1.18;153;107;74.5;13;13;12;10;26.3;8;6;2;0;25;38;13;13;12;41;45;-4;52;1.37;45.4;49;-3.5;-0.09;12,908;26;29.3;51.7;38;418;3,420;38;38;27;65;38;0;1;96;3;45.4;44.6;36.2;80.9;589;1362;1;0.71;1.71;1;1.71;1.2;0.95;2.15;1.17;2.13
Real Madrid;30;38;21356;24221;88.2;356264;110503;10517;11248;93.5;8566;9311;92;1723;2595;66.4;55;54.6;52.2;0.4;501;1773;359;34;1967;30;38;78;621;229;36.9;16.34;6.03;0.11;0.3;18.1;15;10;14;75.3;64.5;0.11;2.7;3.5;3;38;38;3,420;38;38;1;126;89;72.2;26;6;6;15;39.5;3;3;0;0;0;38;26;6;6;78;38;40;84;2.21;75.3;42.8;32.5;0.86;69,807;30;26.6;60.4;38;418;3,420;38;78;55;133;68;10;14;57;4;75.3;64.5;54.6;119;983;1967;2.05;1.45;3.5;1.79;3.24;1.98;1.44;3.42;1.7;3.13
Real Sociedad;31;38;14880;18759;79.3;261975;89905;6750;7619;88.6;6360;7434;85.6;1421;2687;52.9;22;30.9;30.7;-8.9;284;1087;242;64;1341;31;38;34;385;122;31.7;10.13;3.21;0.08;0.25;17.5;10;4;4;42.5;39.3;0.1;-8.5;-9.3;2;38;38;3,420;38;46;1.21;142;94;71.1;13;7;18;13;34.2;7;5;2;0;28.6;38;13;7;18;35;46;-11;46;1.21;42.5;43.9;-1.5;-0.04;29,877;31;25.2;53.8;38;418;3,420;38;34;22;56;30;4;4;85;4;42.5;39.3;30.9;70.3;645;1341;0.89;0.58;1.47;0.79;1.37;1.12;0.81;1.93;1.03;1.85
Sevilla;35;38;14432;18057;79.9;252909;88471;6743;7466;90.3;6146;7086;86.7;1267;2706;46.8;32;30.8;24.4;1.2;357;1072;210;60;1193;35;38;39;472;148;31.4;12.42;3.89;0.08;0.25;18.8;14;2;3;42.7;40.3;0.09;-3.7;-3.3;2;38;38;3,420;38;55;1.45;148;93;66.2;10;11;17;10;26.3;6;5;1;0;16.7;38;10;11;17;42;55;-13;41;1.08;42.7;47.4;-4.7;-0.12;35,619;35;26.1;50.5;38;418;3,420;38;39;32;71;37;2;3;98;8;42.7;40.3;30.8;71.1;594;1193;1.03;0.84;1.87;0.97;1.82;1.12;0.81;1.93;1.06;1.87
Valencia;32;38;13938;17708;78.7;246799;86682;6341;7094;89.4;6081;7066;86.1;1284;2634;48.7;26;30;33.4;-4;284;1109;254;91;1340;32;38;43;383;116;30.3;10.08;3.05;0.1;0.33;17.2;6;5;5;43.3;39.3;0.11;-0.3;-1.3;2;38;38;3,420;38;54;1.42;148;95;67.6;11;13;14;8;21.1;9;6;2;1;25;38;11;13;14;44;54;-10;46;1.21;43.3;51.9;-8.6;-0.23;43,042;32;24.7;48.4;38;418;3,420;38;43;26;69;38;5;5;86;1;43.3;39.3;30;69.3;572;1340;1.13;0.68;1.82;1;1.68;1.14;0.79;1.93;1.03;1.82
Valladolid;38;38;12052;15387;78.3;228419;83632;4795;5456;87.9;5607;6494;86.3;1410;2699;52.2;15;25.7;24.3;-10.7;256;752;176;93;991;38;38;26;331;97;29.3;8.71;2.55;0.06;0.22;18;11;5;5;34.6;30.7;0.09;-8.6;-9.7;3;38;38;3,420;38;90;2.37;204;115;59.3;4;4;30;5;13.2;7;7;0;0;0;38;4;4;30;26;90;-64;16;0.42;34.6;67.6;-33;-0.87;19,831;38;25.6;42.8;38;418;3,420;38;26;15;41;21;5;5;91;5;34.6;30.7;25.7;56.4;476;991;0.68;0.39;1.08;0.55;0.95;0.91;0.68;1.59;0.81;1.48
Villarreal;31;38;14532;17825;81.5;262800;96388;6234;6978;89.3;6564;7485;87.7;1463;2559;57.2;51;49.7;48;1.3;427;1146;371;102;1522;31;38;69;530;171;32.3;13.95;4.5;0.12;0.37;16;9;5;7;64.8;59.1;0.12;4.2;4.9;2;38;38;3,420;38;51;1.34;160;110;72.5;20;10;8;7;18.4;8;7;0;1;0;38;20;10;8;71;51;20;70;1.84;64.8;44.4;20.4;0.54;18,266;31;26.7;47.6;38;418;3,420;38;69;51;120;64;5;7;96;4;64.8;59.1;49.7;108.8;693;1522;1.82;1.34;3.16;1.68;3.03;1.71;1.31;3.01;1.56;2.86
